distancia_minima_TRANSITO;distancia_minima_SEGURIDAD;distancia_minima_SALUD;distancia_minima_FINANZAS;distancia_minima_ENTRETENIMIENTO;distancia_minima_EDUCACION;Factor1;Factor2;Factor3
14.57087195;33.47465456;0.678789802;0.371342386;0.927562365;4.973912956;13.91774998;54.46487486;30.51297683
14.79911295;30.69749059;1.436725572;12.69294373;1.215274451;1.857791994;16.36143034;61.93407148;56.94247448
6.633942895;24.01146756;1.087630189;9.594141283;0.55393501;1.559854643;20.02802776;76.97040379;68.4330631
9.677909703;18.16669032;3.663295898;23.34038309;1.261901279;8.125965273;3.976389624;53.31966611;36.16860812
9.280441697;9.44522886;1.21312574;1.337418306;0.526834321;2.072875087;21.08600081;76.15057242;67.43880884
2.991684828;10.13664207;0.417403079;4.747986508;0.804573272;3.969781316;18.28862905;72.81039137;58.10832295
20.37644161;19.05805932;3.093848354;20.84623234;0.896185961;3.108270629;6.542811451;55.90627522;39.64407874
6.597552377;11.58970203;0.513363393;5.125904398;0.694621157;2.908418983;16.14224572;61.2377066;58.63309343
1.519419429;8.673926941;1.932935228;26.31791266;1.035358445;5.169073288;15.12196801;70.1366168;55.19214316
6.348839327;11.36073921;0.553681783;5.027139254;0.686640947;2.887023254;22.57383404;56.96736013;52.01470149
13.22562457;8.335007255;8.516113308;21.70295912;0.365575005;7.033354184;8.500586228;58.98750756;50.61743321
2.825370552;2.901566508;1.422205384;1.176164106;0.894604129;7.875050486;28.74631033;70.84239159;56.80646596
2.327191322;3.399177507;1.324967873;0.921731675;0.797459301;7.564774936;23.35668785;77.5586869;71.09407127
5.501602479;10.55227378;1.396542442;13.71447614;0.385514815;2.063282797;30.61094332;72.92014597;64.91918302
15.17484493;39.91619469;0.843257279;16.8221599;0.285177364;3.21603668;12.62621266;57.75754322;27.45229496
31.489216;100;0.111233004;0.954382735;1.839584482;2.05868801;0.685025121;61.31115916;27.55898149
17.16661979;15.96021297;1.13447942;24.30201171;1.08667499;10.87593937;11.65255786;54.98145546;18.27014273
4.970082321;11.23064673;2.350203324;12.27264334;0.719316678;2.292825539;5.529463671;59.38597602;27.82322274
5.024858222;11.29041878;2.322507929;12.35591676;0.719931741;2.126989106;4.409549516;58.87227544;24.5868333
0.106881204;20.00887109;1.933082695;5.817094485;0.328856113;4.69338157;19.41637164;51.8528099;12.09542688
17.1607837;32.60154266;0.450907814;0.846402847;0.546270616;4.511610756;14.63722902;69.35162478;66.80268897
10.86065807;26.12789958;1.086677333;12.39314004;1.219777159;5.67117994;15.6333766;65.45365082;46.57800245
16.7177194;30.4473008;0.232261041;2.038550945;0.391936109;3.802310921;8.080354887;68.44829811;57.65120007
9.57873868;24.75669774;0.953447251;12.29008189;1.090829365;5.256249599;15.6581011;63.26964108;41.90912184
13.22473881;10.33383722;1.973928412;4.458706748;1.241799061;2.557446878;15.50567072;70.52693169;81.05833275
14.28659123;31.63496177;0.510642989;0.522320765;0.801858071;4.36235572;24.77481337;69.89839962;68.3460278
3.05430333;10.70796739;1.157758171;5.149062516;0.6082999;6.651891809;37.49119974;68.68554356;57.63315221
5.942152043;3.346443169;0.067027227;2.747313686;0.886103814;0.858446089;9.330985446;68.51288539;68.79007704
16.86193286;25.58424993;0.284446082;1.130264627;0.32026398;2.21722407;31.07694786;64.83984656;63.14961819
9.455495555;29.21303369;0.969614282;0.843385034;0.833698614;4.387430083;4.460439535;61.30767983;40.69583974
29.88374621;97.14895885;0.142219269;0.342425093;1.560170474;1.222040881;7.24853426;69.62470168;43.54082612
11.22180019;25.91417372;0.689250092;1.118965546;0.426368984;3.033359566;17.95353733;73.62725539;79.25699204
9.042926633;26.51627047;0.993905047;1.001779898;0.664530784;3.77257334;12.14129548;68.27398992;62.816668
15.29519687;28.8228271;3.350170067;3.816839522;0.904943843;2.587762691;12.60343988;61.71817019;28.21642469
5.109611364;2.852430324;1.355696979;1.908867201;0.511033757;7.399337595;13.73682323;80.02718482;73.90481694
11.77525814;33.08057422;1.775320472;3.818424578;0.667903948;1.450956327;25.97163878;74.88981581;63.6983851
0.98984676;11.74891638;0.30273495;3.313198689;0.240090003;4.261924745;13.95487077;73.95143061;58.06161363
13.98810032;44.29745539;3.369262974;21.21322416;0.799841443;2.448637325;36.04935948;61.57486736;66.80498926
13.98810032;44.29745539;3.369262974;21.21322416;0.799841443;2.448637325;10.77901638;54.4749909;36.71825307
4.058825826;25.71795231;1.568513924;2.70807761;0.670996788;2.908170068;19.38353469;62.55602616;29.60793185
12.17133073;28.90120088;1.62998781;4.607463242;0.642292653;1.82897153;20.14719958;67.86709957;47.55637596
23.53761559;26.9235258;2.160305743;3.81461256;1.260121786;5.178509579;23.23264113;56.79292333;22.43059401
11.10108604;39.31900999;1.096274397;1.326937163;0.559838593;1.595949625;28.11825727;56.82842775;25.36189086
5.26025859;42.94944028;2.705328859;19.27140115;0.792611992;4.352075507;23.08330521;47.76573975;26.73952966
5.381888698;11.81117656;2.465702499;11.77064754;0.791206961;2.652876319;15.9066467;60.86041378;29.15062918
7.26119579;22.41907046;1.244552744;10.3733295;0.648080491;1.927959694;16.05182056;60.92132008;25.13049655
0.251624636;5.413303607;0.688555741;5.615877711;0.324074179;3.644790159;16.54478938;63.62178844;35.59318198
10.96183443;37.66448807;1.269198725;1.504801936;0.54929758;1.983035876;33.92455821;51.86213499;13.67420037
42.64132789;63.73588383;2.445314132;37.17224228;0.127101499;4.514964457;20.609416;61.0568664;36.29375466
4.150463318;16.37168056;0.963914903;7.959734543;2.87241491;3.115957159;21.52847039;68.12047556;80.14532648
8.943824159;18.47767983;0.959831304;6.297919037;0.755767143;2.428056256;18.22756704;63.63598708;38.41124561
12.53075522;13.05686573;1.497853391;32.91523571;0.912573522;3.069965611;11.49889598;57.63737367;46.30006777
13.27452673;27.55220591;1.261734538;8.461222736;0.363931796;3.459718522;13.34430266;56.99653478;24.44772589
17.71098258;19.48350402;1.027322759;5.110497434;0.466051627;1.747356784;20.53063607;64.56692146;38.38777598
13.69093546;22.99499733;1.456911852;11.19996634;0.641201025;1.263448581;14.74076744;61.02141227;58.98130844
16.52669609;14.17545213;3.591299413;23.81144632;1.205108945;5.289590257;10.28644327;57.15556464;46.93547998
0.422578543;13.99072328;1.520571618;4.08456005;0.390607529;1.352103722;10.0891243;57.16892058;42.0072611
11.77348625;14.45236325;3.309205004;23.46422029;0.938553736;0.992292234;13.6256189;72.85000421;54.11417657
7.488945581;16.17217841;0.97371468;1.76768583;1.350990987;0.683877426;13.76959392;65.99592352;38.50848721
4.865319992;3.899676565;0.065396701;2.135371781;0.851681261;0.964431802;8.418749055;54.04698648;38.62557567
1.951304595;14.30323488;0.494931197;3.279530043;0.643568269;4.255521335;5.324541759;60.7190437;31.78188772
4.412759912;17.28092838;0.604548451;0.132818176;0.953698916;2.570623462;14.87461741;76.05243129;63.61385169
8.463225352;7.63615911;4.019989079;7.860239752;0.120611278;2.920429249;23.77145533;51.981759;39.82029976
40.58546907;21.7275226;6.489209159;28.74865441;5.401081126;6.906783738;13.35049857;52.10284048;35.73781469
17.21001831;8.029115249;8.374689395;17.71345946;0.892949084;6.882515811;15.29911911;54.79964943;44.50466514
1.138039324;25.43493525;1.458018171;9.467137283;0.37228073;1.608125011;10.07512055;68.2703716;41.6451149
29.98666187;25.46188809;8.132313355;17.12125298;1.07435519;2.446788148;12.40577706;57.90810076;47.43025824
7.877631999;16.71644274;0.763388671;6.212429744;0.922244482;2.790918648;7.67047916;64.60851837;33.48512509
3.218173935;8.623149559;0.553852632;2.665934895;0.997253417;7.295086333;12.5981035;56.01462706;36.89616896
18.78681832;22.47190666;0.496530827;8.391679894;0.592310724;3.351213584;41.9301309;51.87882613;20.17062479
3.61434647;16.81487975;0.600302343;2.358901695;0.589567456;3.885004578;46.10728607;45.07590467;0
1.706519145;10.15030147;1.166772784;2.657905245;0.279004897;0.518847631;7.623875457;56.16862344;39.36513034
5.66420094;15.41439185;1.288389655;6.158350866;0.215830762;6.478901692;11.78387645;61.73627154;28.43179433
11.14861955;38.33268067;1.205378209;1.488213946;0.526647418;1.87723123;19.01053997;56.89401729;19.93891406
25.40900323;41.48726068;1.504020267;17.98813117;1.495452782;1.967103449;11.51790635;61.47574724;27.53933156
0.551452114;3.865400078;1.722669617;12.18620846;0;3.273092347;7.809560182;63.46781398;30.34001759
10.03009826;20.96819533;1.088980165;3.141324374;1.046610605;3.481660506;8.118332846;63.5429325;32.0385206
15.1019949;18.79661287;1.701315311;5.116566144;1.507334091;4.72254643;13.80274039;65.96962331;38.42236054
13.93391385;21.49507639;0.240763916;40.29421621;1.76692556;2.840958457;21.11227456;47.72696605;26.49234646
8.9203761;2.111871544;0.601575801;0.883735624;0.673261868;2.716037051;7.347147908;56.38978644;40.09040665
7.927853393;40.4998936;2.527049587;17.8701002;0.31606578;3.757124126;12.02924625;54.55590631;39.32262635
18.74155273;4.266509104;0.511394906;0.017134967;0.413514976;1.965103593;13.24048876;61.70917282;28.42235839
32.83972042;22.01418181;3.137883409;13.3784221;2.798926367;5.322863136;30.82445752;47.10259141;20.23738096
6.325598464;11.3901651;1.648050718;14.85874156;0.561401093;1.257573117;9.680180941;68.38550071;56.61263001
0.903237654;11.75237334;0.323326229;3.867655243;0.329916653;4.33595482;22.86228238;59.18729655;44.47447323
2.100875005;12.01531645;0.857078545;5.529568321;0.521616669;5.629188919;11.83522073;54.5690657;23.69597636
3.023562172;16.2209808;0.933555965;7.056865263;3.016859148;2.520317352;6.873539927;55.04242766;38.79717969
0.820359214;11.88382612;0.291705956;3.510914933;0.27583114;4.237984927;6.200797153;62.12135608;34.18086852
9.215499959;13.6045247;1.201416905;0.863569657;0.863850496;0.831684819;22.54901546;76.3919601;69.78339101
31.92615411;95.95017025;0.562899148;1.908125424;1.390457535;1.342247642;29.81395991;67.20730078;49.23025332
12.71829177;18.64061251;1.083711316;10.19310049;0.502027525;1.715862181;6.874061768;54.93281304;40.23124242
14.58863922;28.06653708;1.817802688;5.620071887;0.507615728;1.566057334;18.56746446;58.15306556;21.62760183
0.604903138;18.10979323;1.744368846;5.729029339;0.353169126;5.007922387;87.66229262;44.32374718;22.41022482
6.602094929;18.53673872;2.576455828;10.39336545;1.045604848;1.35719995;7.587209049;58.82196111;50.62328347
10.97261908;31.0284552;0.86165971;1.687465666;0.918787775;4.647020043;10.2761946;59.34400926;43.03085208
2.654731912;15.24607518;0.559410969;3.022765863;0.576117272;4.200853596;15.1097305;75.78630229;61.91849738
6.317279325;30.70501324;1.458350614;3.330740121;0.800726663;5.587741452;11.83057513;60.41792717;43.58913966
3.255497945;8.495984598;0.464615868;1.345932351;0.275414374;3.926912931;16.16083086;72.05435775;56.03931315
8.542226238;22.27865425;0.744355244;3.695241303;0.620651425;1.901348071;17.65222261;72.5135051;59.72549606
15.93307179;9.7153263;8.907803331;20.93290748;0.3640081;8.032647252;6.544565524;54.70472272;40.46526222
5.72307954;4.261722939;0.660807515;0.345944325;0.198480915;2.263385529;10.33249205;53.94770793;36.7569858
2.510860497;23.56003463;1.719958161;4.031320063;0.438604143;3.504742844;16.03436323;65.46922748;41.4414057
6.971841112;3.05319129;0.950753492;2.621993416;0.793547521;2.798883138;22.1237175;61.0215169;28.68550731
23.31944031;30.02123754;0.878551759;29.97061073;0.748606497;6.159304673;7.615079638;64.55468657;33.50510645
15.88437715;6.455089238;1.294154202;2.724491684;0.962027397;3.64314177;18.47675136;49.24497336;32.42040953
11.91578832;3.177101564;0.653231053;1.16700781;0.290820909;5.472996907;10.309391;52.81892854;36.59916471
4.968220043;11.63211639;3.493127464;5.398090752;0.292936214;1.87488919;6.943809574;55.07352382;40.29980593
22.50356486;43.18648671;0.357434072;20.17025051;1.299645152;0.306157799;15.25211345;59.46339568;24.67236843
6.339775446;15.68799985;1.395119784;6.198789219;0.288949569;6.803806516;15.04750779;59.08908207;23.40495657
13.06144767;24.12051809;1.485871867;9.00735097;0.198651031;0.794396946;15.38595943;59.82815668;25.90579664
12.03697168;21.89568458;3.603473021;56.33278417;1.019960903;24.83989913;25.49348027;5.443962488;53.89242255
12.03697168;21.89568458;3.426351654;53.0653816;1.610548647;22.78116211;6.388739755;15.31763377;67.57252933
1.606391302;3.462925745;0.773819579;5.978343033;0.131658974;3.04884282;15.14920349;59.00873193;23.1420487
7.345203664;17.02901712;1.808721107;3.803666827;0.604702958;6.198625084;8.456216561;63.96033085;32.03215084
7.894444588;17.19237681;1.90094361;4.402027066;0.679839771;6.165371343;8.270717909;63.63592818;30.93048433
19.419384;33.08379181;1.73275994;13.45888915;0.66028707;1.525226617;15.53640457;59.2367062;23.92929924
12.03697168;21.89568458;4.511753696;47.388205;1.171928247;19.46837811;20.87224123;7.093413862;55.49195897
11.51390203;38.78009601;1.174219404;1.716085784;0.481352955;1.920401679;32.33072698;49.71098768;7.625301892
4.962594245;12.70249556;1.478546862;2.978328617;0.762129828;4.816071143;8.313359665;63.60185923;30.81876632
13.59186696;30.19590381;0.461096149;1.106472206;0.765555973;3.948582751;10.96855585;56.97648897;33.87811859
12.07367632;21.95601366;1.314586889;9.976451504;0.830752037;0.493388265;10.42326682;53.20052382;37.888356
13.40479668;24.20950498;1.46689458;9.812908655;0.318896041;0.251816568;8.448482386;63.96646757;32.05224707
9.151197377;15.75143828;2.714051454;12.26646743;1.033750317;1.807308414;6.636737728;55.25483188;40.89299961
31.42273161;99.77500874;0.087251946;0.808915199;1.813727627;1.96494306;4.789236038;66.15653711;34.60119931
16.71650262;18.02081031;2.265072457;7.429535942;1.240708464;4.535942079;15.27567152;59.44425647;24.60940529
14.62999259;3.188714309;1.086402865;2.638458332;0.691202056;4.706527005;7.070856673;54.97221489;39.9677215
4.550037542;16.94256849;0.943967933;4.248721809;0.221687568;5.026825736;11.47482073;61.51010133;27.6519403
4.709127472;16.45980975;1.526443393;1.365254672;0.500578889;5.104682016;8.276958191;63.63025051;30.911425
45.26763928;72.79684054;3.33848611;38.91198535;0.77225691;4.751689032;8.497615997;63.92759401;31.92501758
14.51687341;40.89081437;1.197052698;4.0236915;0.148052053;2.706893107;32.33146676;49.71051244;7.623817344
8.882363357;29.24943243;1.050221499;1.169891981;0.879639853;4.5330388;14.85256016;54.37243563;29.03334366
8.771727284;8.843562798;5.28787805;15.91708888;0.203400434;0.657319142;21.88225466;47.02141015;28.82217251
7.519296698;18.27844662;1.489974795;4.837686886;0.276652241;6.731867598;8.895540347;64.14597601;32.68015984
7.142326197;7.270878728;0.864234948;9.635435344;1.645260193;5.417036398;10.20665131;52.90095064;36.86808958
10.77105006;8.413365148;4.651202046;10.63649219;0.316678473;2.704494498;11.37113271;53.04289159;37.41140594
1.507339048;20.64877622;1.53280923;10.32405606;0.892054607;0.459383014;22.38502074;56.64558748;50.92164765
25.25505844;21.79603975;0.56827779;32.226843;1.524909402;4.179687713;14.4461125;58.98095375;24.22938076
2.065932139;21.16193373;1.555973929;10.58581716;0.814863818;0.386214845;15.95343242;60.91593394;57.54003958
9.897464532;17.86290436;3.613878415;23.0558696;1.313901218;8.205891577;3.976389624;53.31966611;36.16860812
37.376524;62.59841848;2.132717129;33.00565526;0.602201535;2.567864469;13.33399053;64.08186083;36.4015321
5.827046615;14.21028156;1.390099378;12.77262769;1.319220724;6.866343264;13.65393647;61.21446019;63.34394748
28.79689465;47.44732789;1.45119023;56.54543932;4.427274005;6.03066845;17.01283179;60.03240553;58.79292123
20.12222457;18.92810804;3.085965352;20.91989258;1.170471578;4.02218245;4.962858436;54.75469151;39.02761446
15.57105327;33.06270735;1.780083791;6.400372183;0.506019744;0.153375446;25.78282548;74.56804316;62.60533125
17.5952233;39.29847666;0.487425675;14.37137093;0.587279486;2.773812033;13.6364005;79.63527826;72.58209198
7.321040329;17.75427877;1.479113867;5.142472125;0.273455686;6.780819333;15.75638263;74.12904568;61.02264979
6.428945822;16.38805656;0.335377665;17.12326513;0.831276212;2.117969714;18.47179571;78.05339504;72.87502682
0.787805764;9.618091281;0.713327934;4.283201706;0.610094393;5.499851093;12.669658;72.79006881;56.53307193
2.801846111;14.81128384;1.471561667;3.80563914;0.432345229;2.443993243;7.509037858;65.38629896;59.40113522
8.198537266;18.10728983;1.090095757;2.666041773;1.513701304;1.26154825;4.988802051;65.82375872;34.41224367
1.991924825;14.37388128;0.454432492;3.138311454;0.680465181;4.141556352;18.48189985;78.14333428;72.97339597
2.812186521;8.041072536;0.800868161;1.941909539;0.465097391;1.362002854;14.06591199;66.28962562;68.55262412
1.343397732;5.015409028;1.235483028;1.803777227;0.831176139;7.258303795;28.55749703;70.52061894;55.71341212
2.327311114;15.05834562;0.44838221;2.765686173;0.683471268;3.958528585;37.30238644;68.36377091;56.54009836
6.878920924;18.90181558;1.303733391;2.763890717;0.439035322;5.288168185;18.47179571;78.05339504;72.87502682
12.03697168;21.89568458;2.207478558;2.14865016;0.979129291;2.488114794;41.30211339;13.75788236;81.9879773
4.344584247;12.08769148;0.500604374;1.414902347;0.894900656;1.584381095;31.60531038;69.35592545;56.86602212
9.114623458;8.724340219;0.570507973;18.12287941;1.564985324;3.546459408;16.81087641;77.43489088;69.25546846
5.763000367;10.90592979;1.467931194;14.0903093;0.417178129;1.828749298;30.42213002;72.59837332;63.82612917
6.306643322;22.35985355;1.54801025;3.004163171;1.124051803;2.535216036;26.73911739;74.57016026;66.56028914
1.019219776;19.17479079;2.583648451;4.938347264;0.726831754;2.250932496;25.58642279;61.32627769;61.41909682
1.346116066;11.14329017;0.132689444;3.136248162;0.377754815;3.32584659;25.30317589;74.41447851;62.06243173
12.03697168;21.89568458;2.214921805;16.82169255;17.55132217;44.3419141;27.58169707;65.04129879;67.67876341
5.055935635;14.98044439;2.978252645;9.059446898;1.135877485;0.567169262;35.68100748;60.23078879;66.92326237
1.084437113;8.945846142;0.702817205;3.932721369;0.535991151;5.524458855;7.051912181;69.07105747;42.58788396
5.553843418;12.38839194;0.675284343;1.697812248;1.053243871;1.04070127;23.16787455;77.23691425;70.00101742
5.034070397;5.852906755;0.664978357;2.061589665;0.58602697;3.538850063;10.24185169;75.76919078;59.66349198
16.67394382;25.06943874;0.865106953;9.436091174;1.039136177;1.604698305;11.31494703;53.81831949;35.15690206
12.03697168;21.89568458;2.214921805;13.26973472;1.515503056;5.200564308;10.76894853;42.07827984;82.33543202
3.825289314;11.92365213;0.424909213;1.514688959;0.82326758;1.830407758;13.54800993;79.70541217;72.81176309
3.29629038;11.22520854;1.425845163;1.695599782;0.17053822;2.273024019;12.66637793;66.05157991;65.002091
1.078535306;8.432432266;0.794184151;3.623330527;0.612363335;5.808244376;16.40437338;70.77705695;53.66378149
2.451566278;13.5324763;1.150127693;13.70841343;0.012245604;3.102671672;9.092593302;63.70045881;34.069099
7.913611516;1.062673889;1.106862779;22.85350562;0.973749858;5.983196632;20.19150977;58.18402362;19.63503521
11.53087568;6.18957606;0.671202949;22.86630302;0.926852621;7.599765382;15.21568749;59.29593825;24.51601899
3.232998228;8.590868366;0.644245838;2.651324434;0.201600647;5.281967232;4.240345971;65.39377039;33.94496945
7.023084863;13.98719829;2.316117661;11.70435306;0.977025816;1.482557988;7.972679146;63.18675823;30.83270957
23.76895372;26.6156904;2.176085376;19.32510901;1.863910451;10.1497344;12.43739936;57.43577057;26.35924111
20.18925797;31.55262991;1.303342763;27.1738365;2.144853195;1.543882341;19.41637164;51.8528099;12.09542688
21.15957673;16.86464199;0.535620009;7.894061408;0.372825569;2.879903663;13.15548936;56.67476213;23.35467204
21.50460429;6.645710997;1.110172337;3.488296554;0.602507095;1.04026043;15.46928781;62.94786843;40.816068
29.7414415;5.462196945;2.097201391;8.287192197;0.384941101;5.101787098;15.4445633;65.13187817;45.4849486
6.961272927;0.376534648;0.429009194;1.982905667;0.487504945;2.378783537;11.59374632;48.43638269;25.9580117
12.76767003;21.54440806;3.813092688;21.98970082;1.306366378;9.223014797;9.735843568;52.42471256;35.84300189
1.548212923;13.65530299;0.541954285;3.720610164;0.620944036;4.507826394;11.56405377;61.53700397;27.5437188
30.97067168;26.89546327;8.185214977;17.59803182;1.202310094;2.559344318;9.530556154;53.46218111;38.03632623
1.096395012;8.918463605;0.841306248;3.877000918;0.70371771;5.905105987;15.0973157;59.7377707;24.15774853
6.441537236;7.742662695;1.092872262;1.005285597;0.204752663;5.782142526;11.67806954;61.54468957;27.37285332
5.184113253;5.612431233;0.68960476;2.004653496;0.593251833;3.527165082;15.27469463;67.0056129;40.77956774
3.360562297;9.363965371;0.534533601;1.109464678;0.140325609;4.464347815;11.77872452;61.75863778;27.48496615
4.722229654;26.49035667;1.382433489;3.26107958;0.632916478;2.51092285;19.19472139;62.23425351;28.514878
18.9308936;11.48510966;7.067512927;11.03743492;0.796682078;6.660445551;15.11030581;54.47787678;43.41161129
12.03697168;21.89568458;2.214921805;44.76818493;12.87680328;28.12951462;3.952377573;59.47285818;44.00389494
4.441379769;33.59663124;1.460766118;2.194193098;0.410545442;3.059133456;18.03875374;63.31421443;37.31819176
15.06735681;25.52934412;0.248548705;1.126885862;0.383500284;2.230888793;19.70342689;55.89724221;40.39124303
6.22177258;0.597520553;0.289647381;1.979617237;0.568034649;1.956026274;12.17374728;50.79041162;32.66588543
5.388945458;1.84421853;0.303016266;1.25179753;0.520353178;2.03097504;9.900311005;56.84714793;40.91420725
6.066224799;9.309196947;3.692288304;6.684205842;0.452662217;2.523073888;9.112682989;52.67172073;32.37789265
15.414471;33.13962914;1.795846055;6.260681168;0.514226747;0.076089839;19.95838628;67.54532692;46.46332211
1.634392816;11.0469566;0.826980009;5.057127617;0.625024391;5.662171786;11.31892164;61.33998682;27.6833719
2.934668037;7.83561486;4.454097125;16.62378617;0.433002764;3.636414051;23.58264204;51.65998635;38.72724591
6.239979503;7.496698317;1.084542028;1.096111932;0.187893439;5.860466275;14.50186194;59.13265985;24.33387948
12.37493017;49.96047752;2.485949899;10.55934534;1.57643532;4.15643336;9.140020661;67.21181007;40.37857289
14.36576286;30.12362038;1.947048106;6.301659398;0.586324528;0.913315064;33.73574491;51.54036233;12.58114652
1.395665535;10.966302;0.164537022;2.932896186;0.339179444;3.440853826;26.21981243;63.26492851;38.98559603
3.660188397;4.867219993;1.040368462;2.21411618;0.291669869;6.550107302;8.138203748;65.03913431;32.30581163
5.065904478;3.830839678;0.045480302;2.271719022;0.86393266;0.902734185;14.2082403;51.93888805;32.68510179
5.664919694;14.2166877;0.704340122;0.979161726;1.12930264;1.004503261;19.80539141;58.41874852;20.61675771
3.107909575;7.379595142;0.753048934;1.625110621;0.413849675;1.439022242;10.21481779;53.76525166;35.72774261
6.664663825;17.45414489;1.36928491;5.06888111;0.164685089;6.43082029;20.9908532;62.13980084;31.28481146
2.852576052;6.892318265;0.799943461;3.039435068;0.30851937;5.833062033;11.34172953;61.4197624;27.7484038
37.67759229;62.50165943;2.07556076;33.27419331;0.688851818;2.865313491;16.01998568;69.62179623;49.73645026
8.854964547;13.06299917;1.155913905;6.922869048;1.658445804;0.169764783;10.09762997;56.83379198;45.84242613
0.672047325;7.99678083;0.852144963;3.372492913;0.651720887;5.997021167;9.875322382;60.45378775;28.17142837
12.03697168;21.89568458;1.127561788;4.726838106;0.583526787;1.651414978;7.213765851;25.54439646;90.02585497
15.38267364;28.04898733;0.080205428;1.020617366;0.451899778;3.049133808;11.69258641;60.05582752;42.36402492
3.066184525;7.10986346;0.721248565;1.455834215;0.419308532;1.538387103;13.58612457;68.1525806;70.55432906
33.7387352;30.53946566;7.877665645;16.72811406;1.335799837;1.922269735;11.73027594;63.92918179;61.83834765
7.334557342;6.749961222;1.086303897;2.047775338;0.12636855;3.575227103;10.33297072;53.96545571;35.79493643
12.03697168;21.89568458;2.196832438;2.00127866;0.965925119;2.49559979;26.70933058;0;49.56502615
19.09782443;20.17259269;1.849151351;3.257438791;0.707252271;1.608425691;23.04382783;56.47115067;21.33754016
12.03697168;21.89568458;2.214921805;62.67038529;16.68198797;10.06598574;5.30374089;27.39762638;52.39196044
6.326470716;24.80709712;0.677434706;7.34536821;0.446290706;1.768490488;9.886307251;67.94859895;40.55206106
15.8169393;21.13666899;0.681136575;2.847681461;0.327743877;0.745175421;8.190367294;66.66021627;54.47848544
12.03697168;21.89568458;1.019990186;3.979850718;0.161184953;1.237497356;5.709479752;16.07776311;69.00009628
20.47375194;34.57181986;1.674032487;14.23160824;0.806663565;1.525028014;14.44090351;60.38145178;25.39990267
2.721186782;14.83220899;0.715890113;3.873222098;0.429638258;4.745093954;13.58078062;65.67415087;37.41543336
33.7266198;32.90848839;9.525531612;24.86129205;0.343116346;6.875591565;12.21696377;57.58632811;46.3372044
12.03697168;21.89568458;1.063258608;15.49002099;2.175681277;0.582013046;10.65708411;14.08919336;67.99576916
12.03697168;21.89568458;1.511002549;17.97585556;2.608276276;2.1066775;2.847922333;18.22543031;71.76153287
16.96595884;16.85579874;1.132623888;4.716659422;0.655586599;0.584405425;9.993159192;57.30361418;34.24039028
3.209713342;11.93203232;1.494278552;2.090617925;0.199322787;2.33024942;8.229935756;53.72521383;37.53252182
22.61724824;33.00151645;2.584947027;12.84678381;1.192624783;3.736176633;16.35597608;63.30001579;34.50012814
4.73806657;2.815570783;0.328979685;0.714303244;0.52149822;2.081307806;4.036048915;52.819193;38.72236509
24.45596638;33.48116922;3.118939227;20.09141589;0.393699762;3.956876599;7.481665862;64.28674572;32.39207124
21.669668;31.78861245;2.447383962;12.22185941;1.052581573;3.273569832;18.28862905;72.81039137;58.10832295
14.11821444;4.78367159;1.466489814;5.032984744;0.912689773;5.045064345;15.31685742;70.20515904;79.96527891
2.873769512;28.10821248;1.419892146;8.603632552;0.39130417;1.533806513;17.27229659;69.19037687;47.81588941
12.03697168;21.89568458;3.505680935;28.56550923;3.182181743;8.393787965;3.616894036;19.71540611;79.23557872
22.58220745;39.66227999;1.309092092;53.24567305;3.714730355;8.710721567;5.48592063;57.14642505;42.6231012
17.81898799;17.75119985;0.810409068;1.658350058;0.732553243;1.556774871;20.89718751;75.82879976;66.34575499
15.48445793;4.78282353;8.151707573;16.74212629;0.802195033;6.767689669;8.500586228;58.98750756;50.61743321
5.137280833;5.066978473;1.042006876;9.226167255;0.450232502;1.510325463;19.83921446;76.64863113;67.34000925
